datetime,open,high,low,close,volume 
2008.09.16 21:00:00,778.73,867.83,773.524,862.902,7.61134
2008.09.17 21:00:00,862.703,912.91,836.081,852.293,7.95496
2008.09.18 21:00:00,852.289,875.123,823.764,871.483,7.82739
2008.09.21 21:00:00,871.97,907.71,861.804,895.954,7.44133
2008.09.22 21:00:00,896.189,909.065,879.695,890.694,7.88081
2008.09.23 21:00:00,890.921,900.652,876.16,881.984,7.71207
2008.09.24 21:00:00,881.922,895.254,863.567,876.961,8.0393
2008.09.25 21:00:00,876.813,909.021,865.743,877.412,7.93389
2008.09.28 21:00:00,883.02,922.361,866.423,906.54,7.34199
2008.09.29 21:00:00,906.519,912.993,855.801,870.207,7.84288
2008.09.30 21:00:00,870.287,892.86,864.216,870.043,7.6706
2008.10.01 21:00:00,869.76,875.227,828.81,834.282,7.97682
2008.10.02 21:00:00,834.324,846.527,820.199,833.342,7.90908
2008.10.05 21:00:00,834.57,875.262,824.389,858.139,7.5301
2008.10.06 21:00:00,858.079,890.15,855.77,887.004,7.83566
2008.10.07 21:00:00,886.847,920.883,877.491,905.554,7.88392
2008.10.08 21:00:00,905.805,922.893,880.708,910.472,8.17982
2008.10.09 21:00:00,910.38,929.895,823.911,848.731,8.03827
2008.10.12 21:00:00,847.122,870.956,821.584,831.241,7.45255
2008.10.13 21:00:00,831.016,853.426,829.851,835.618,7.91005
2008.10.14 21:00:00,835.643,855.219,831.04,845.221,7.81507
2008.10.15 21:00:00,845.02,848.925,784.491,803.158,8.08442
2008.10.16 21:00:00,803.05,813.997,774.108,781.061,8.00703
2008.10.19 21:00:00,781.445,809.71,780.682,795.689,7.45842
2008.10.20 21:00:00,795.532,802.611,765.62,770.51,8.0146
2008.10.21 21:00:00,770.926,776.466,718.98,729.347,7.8757
2008.10.22 21:00:00,729.155,734.695,697.712,720.291,8.1956
2008.10.23 21:00:00,720.196,746.944,681.999,732.486,8.11657
2008.10.26 21:00:00,732.17,746.437,706.435,729.954,7.586
2008.10.27 21:00:00,729.578,754.387,723.346,746.587,7.99229
2008.10.28 21:00:00,746.361,773.641,737.846,754.239,7.85001
2008.10.29 21:00:00,754.1,776.323,731.818,738.483,8.26282
2008.10.30 21:00:00,738.354,741.007,717.1,723.509,8.08377
2008.11.02 22:00:00,724.209,738.597,720.877,723.248,7.65709
2008.11.03 22:00:00,723.276,767.195,721.403,761.985,8.12365
2008.11.04 22:00:00,761.863,768.29,735.823,739.819,8.04469
2008.11.05 22:00:00,739.69,760.069,728.515,732.229,8.36678
2008.11.06 22:00:00,732.275,744.762,725.697,734.945,8.15195
2008.11.09 22:00:00,734.522,766.716,734.415,745.19,7.6442
2008.11.10 22:00:00,745.375,749.311,726.561,730.719,8.00366
2008.11.11 22:00:00,730.805,738.575,708.32,711.158,7.9986
2008.11.12 22:00:00,711.274,738.949,699.719,735.927,8.45045
2008.11.13 22:00:00,735.594,752.755,724.796,739.976,8.2682
2008.11.16 22:00:00,741.191,748.795,730.818,737.191,7.67907
2008.11.17 22:00:00,737.31,745.559,730.793,736.381,8.16879
2008.11.18 22:00:00,736.523,761.655,731.624,733.449,8.0935
2008.11.19 22:00:00,733.593,752,732.31,745.316,8.42537
2008.11.20 22:00:00,745.459,801.203,742.473,798.993,8.27934
2008.11.23 22:00:00,799.27,829.044,785.807,820.485,7.8136
2008.11.24 22:00:00,820.572,828.821,802.544,819.997,8.09765
2008.11.25 22:00:00,819.921,822.421,808.502,811.996,8.1101
2008.11.26 22:00:00,811.987,816.983,808.92,814.496,7.70153
2008.11.27 22:00:00,814.52,820.073,809.136,817.619,8.14407
2008.11.30 22:00:00,812.722,818.054,767.673,768.254,7.9756
2008.12.01 22:00:00,768.318,785.665,761.823,781.39,8.57194
2008.12.02 22:00:00,781.29,782.747,763.863,773.536,8.2698
2008.12.03 22:00:00,773.648,782.625,762.207,766.566,8.81892
2008.12.04 22:00:00,766.413,772.109,740.956,755.91,8.53189
2008.12.07 22:00:00,755.559,781.211,754.272,771.907,7.97758
2008.12.08 22:00:00,772.263,779.563,762.328,775.588,8.41602
2008.12.09 22:00:00,775.751,813.627,773.801,809.455,8.39335
2008.12.10 22:00:00,809.541,834.069,801.712,819.787,8.79329
2008.12.11 22:00:00,820.242,828.094,807.173,821.501,8.57093
2008.12.14 22:00:00,819.623,841.732,819.567,837.268,7.98907
2008.12.15 22:00:00,837.027,858.889,829.695,857.018,8.61276
2008.12.16 22:00:00,856.769,881.144,845.959,867.186,8.3167
2008.12.17 22:00:00,867.065,877.787,848.026,852.161,8.92224
2008.12.18 22:00:00,852.308,853.654,829.294,836.573,8.64746
2008.12.21 22:00:00,836.653,851.11,836.246,846.883,8.01446
2008.12.22 22:00:00,846.962,848.301,829.193,838.529,8.36098
2008.12.23 22:00:00,838.698,848.185,834.19,845.803,7.87368
2008.12.24 22:00:00,845.766,846.857,839.144,843.776,3.73843
